filename,filepath,age,gender,race,label,label_name
8_1_0_20170109202407288.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/8_1_0_20170109202407288.jpg.chip.jpg,8,1,0,0,under18
7_1_2_20161219190156114.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/7_1_2_20161219190156114.jpg.chip.jpg,7,1,2,0,under18
2_1_3_20161219224614064.jpg.chip.jpg,/kaggle/input/utkface-new/crop_part1/2_1_3_20161219224614064.jpg.chip.jpg,2,1,3,0,under18
8_1_0_20170109202305645.jpg.chip.jpg,/kaggle/input/utkface-new/crop_part1/8_1_0_20170109202305645.jpg.chip.jpg,8,1,0,0,under18
2_1_3_20161220144844310.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/2_1_3_20161220144844310.jpg.chip.jpg,2,1,3,0,under18
22_1_0_20170103163248351.jpg.chip.jpg,/kaggle/input/utkface-new/crop_part1/22_1_0_20170103163248351.jpg.chip.jpg,22,1,0,1,adult
1_0_3_20161219225813152.jpg.chip.jpg,/kaggle/input/utkface-new/crop_part1/1_0_3_20161219225813152.jpg.chip.jpg,1,0,3,0,under18
26_0_1_20170116024841535.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/26_0_1_20170116024841535.jpg.chip.jpg,26,0,1,1,adult
53_0_2_20170104210010763.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/53_0_2_20170104210010763.jpg.chip.jpg,53,0,2,1,adult
2_0_0_20170110212710755.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/2_0_0_20170110212710755.jpg.chip.jpg,2,0,0,0,under18
15_1_0_20170109214409051.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/15_1_0_20170109214409051.jpg.chip.jpg,15,1,0,0,under18
13_1_4_20170103212548662.jpg.chip.jpg,/kaggle/input/utkface-new/crop_part1/13_1_4_20170103212548662.jpg.chip.jpg,13,1,4,0,under18
26_0_3_20170117154224766.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/26_0_3_20170117154224766.jpg.chip.jpg,26,0,3,1,adult
1_1_2_20161219154531437.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/1_1_2_20161219154531437.jpg.chip.jpg,1,1,2,0,under18
31_1_2_20170104020444076.jpg.chip.jpg,/kaggle/input/utkface-new/crop_part1/31_1_2_20170104020444076.jpg.chip.jpg,31,1,2,1,adult
1_1_4_20161221192837420.jpg.chip.jpg,/kaggle/input/utkface-new/crop_part1/1_1_4_20161221192837420.jpg.chip.jpg,1,1,4,0,under18
2_0_2_20161219221937375.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/2_0_2_20161219221937375.jpg.chip.jpg,2,0,2,0,under18
73_1_2_20170110131323894.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/73_1_2_20170110131323894.jpg.chip.jpg,73,1,2,1,adult
49_0_0_20170117190513467.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/49_0_0_20170117190513467.jpg.chip.jpg,49,0,0,1,adult
75_0_0_20170111204348525.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/75_0_0_20170111204348525.jpg.chip.jpg,75,0,0,1,adult
75_1_0_20170110140824258.jpg.chip.jpg,/kaggle/input/utkface-new/crop_part1/75_1_0_20170110140824258.jpg.chip.jpg,75,1,0,1,adult
1_0_0_20161219205145821.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/1_0_0_20161219205145821.jpg.chip.jpg,1,0,0,0,under18
24_1_4_20170103225908457.jpg.chip.jpg,/kaggle/input/utkface-new/UTKFace/24_1_4_20170103225908457.jpg.chip.jpg,24,1,4,1,adult
